Actual,Predicted
63841.12109375,64957.42
60636.85546874999,65143.133
58254.01171875001,64892.586
59123.43359375,63924.613
62889.83593750001,61612.977
63891.47265624999,61193.785
64031.13281250001,63257.895
63161.94921875,65909.984
62334.81640625,66468.68
61187.94140625,66549.84
63049.9609375,65932.695
60792.77734374999,64895.863
60793.7109375,64929.84
61448.39453125001,64968.96
62901.44921874999,64349.47
61552.78906249999,64581.887


R-squared for the model on new test data: -4.0315234985460675
Mean Squared Error for the model on new test data: 13593161.046031
Mean Absolute Error for the model on new test data: 3323.3469238281264
